edad,genero,promedio_notas,horas_estudio,nivel_socioeconomico,asistencia_clases,tipo_institucion,acceso_recursos,condicion_laboral,motivacion_academica,distancia_escuela,horas_trabajo,participacion_extracurricular,uso_tecnologia
19,No Binario,71.7,4.3,Medio,80,Pública,Alto,Empleado,8.2,4.2,6,No,Bajo
23,Femenino,65.3,14.5,Bajo,84,Pública,Medio,Empleado,6.2,0.1,9,No,Alto
22,Masculino,66.6,15.9,Medio,83,Pública,Alto,Desempleado,5.2,3.4,12,No,Bajo
18,No Binario,62.8,16.2,Medio,92,Privada,Alto,Empleado,1.4,10.9,14,No,Medio
20,No Binario,74.4,10.7,Bajo,86,Privada,Bajo,Empleado,4.9,12.2,8,No,Bajo
24,Masculino,68.3,14.8,Medio,85,Pública,Bajo,Empleado,4.6,16.7,11,No,Bajo
16,No Binario,77.9,12.4,Alto,90,Pública,Medio,Desempleado,6.1,5.6,8,No,Bajo
20,No Binario,57.9,24.5,Bajo,88,Pública,Alto,Desempleado,3.5,15.7,9,Sí,Medio
24,Femenino,76.9,12.4,Medio,83,Pública,Medio,Desempleado,1.2,21,14,Sí,Medio
19,Masculino,76.1,13.3,Bajo,87,Pública,Alto,Desempleado,4.7,0.8,6,Sí,Alto
20,No Binario,82.5,20.8,Alto,88,Pública,Alto,Desempleado,2,0.7,11,Sí,Alto
21,Femenino,71.4,8.6,Bajo,91,Pública,Medio,Desempleado,2.7,27.5,8,Sí,Bajo
24,Femenino,77.2,16.7,Bajo,90,Privada,Medio,Desempleado,1.9,3,12,Sí,Medio
20,Masculino,62.5,14.8,Bajo,86,Privada,Medio,Desempleado,8.1,6.8,10,No,Bajo
20,Femenino,86,10.6,Medio,92,Privada,Bajo,Desempleado,5.8,0.2,6,Sí,Bajo
20,Masculino,71.6,9.1,Alto,83,Pública,Medio,Empleado,1.2,4.1,11,No,Medio
25,Masculino,74.7,19.1,Bajo,76,Privada,Medio,Desempleado,9.4,6.3,18,No,Bajo
25,Femenino,72,19.4,Alto,90,Pública,Medio,Desempleado,4.9,4.7,12,Sí,Medio
23,Femenino,87.9,16.5,Alto,83,Pública,Medio,Desempleado,2.9,0.5,13,No,Bajo
22,Femenino,63.6,7.4,Bajo,87,Pública,Alto,Empleado,4.4,11.7,5,Sí,Bajo
22,No Binario,85.6,17.5,Alto,85,Pública,Alto,Desempleado,3.4,13.9,8,Sí,Bajo
24,Femenino,79.2,11.2,Alto,85,Pública,Bajo,Empleado,6.5,29.7,8,No,Bajo
19,Femenino,69.3,18.7,Alto,80,Pública,Medio,Empleado,1,7.4,14,No,Medio
23,No Binario,64.3,15.6,Medio,85,Privada,Medio,Desempleado,6.3,0.4,9,Sí,Bajo
18,Masculino,63.2,17.9,Medio,90,Pública,Medio,Empleado,6.7,1.4,8,No,Medio
20,Masculino,75.5,20.7,Bajo,89,Pública,Bajo,Empleado,8.6,22,9,No,Alto
23,No Binario,66.5,18.3,Medio,88,Pública,Bajo,Empleado,2.9,21.1,19,Sí,Bajo
18,No Binario,62,14.2,Bajo,87,Pública,Alto,Desempleado,6.1,20.1,7,No,Alto
21,No Binario,68.8,25,Bajo,88,Privada,Alto,Empleado,5.4,2.6,4,Sí,Bajo
19,Femenino,82,19.2,Bajo,83,Pública,Alto,Empleado,2.4,0.8,8,No,Medio
