ID,Fecha_Registro,Etapa_Cadena,Region_Origen,Tipo_Certificacion,Metodo_Transporte,Canal_Comercializacion,Rendimiento_ha_ton,Dias_Cosecha_Procesamiento,Perdidas_Acopio_porcentaje,Tiempo_Fritura_min,Costo_Produccion_USD_kg,Precio_Venta_USD_kg,Puntuacion_Calidad_1_10,ID_Lote,Margen_Ganancia_USD_kg,Eficiencia_Logistica_porcentaje,Precio_Relativo,Apreciacion_Producto,Puntuacion_Calidad_Antes
1,2024-11-04,Acopio,Selva,Convencional,No refrigerado,No aplica,"19,3",4,"6,21",5,"0,94","6,6","6,6",L001-Sel,"5,66","93,79","7,021276596",Negativa,"5,4"
2,2024-07-06,Venta,Costa,Convencional,Refrigerado,Supermercados,"22,48",4,"3,16","5,6","1,2","6,19","4,4",L002-Cos,"4,99","96,84","5,158333333",Negativa,4
3,2024-03-29,Acopio,Costa,Convencional,Refrigerado,No aplica,25,3,"9,02",6,"1,25","4,05","8,3",L003-Cos,"2,8","90,98","3,24",Positiva,"7,4"
4,2024-01-02,Venta,Costa,Convencional,Refrigerado,Mercados locales,"19,96",5,"8,83","4,5","1,19","3,55","7,1",L004-Cos,"2,36","91,17","2,983193277",Positiva,"6,2"
5,2024-08-02,Procesamiento,Costa,Convencional,Refrigerado,No aplica,"21,65",2,"9,26","5,8","1,72","4,35","9,5",L005-Cos,"2,63","90,74","2,529069767",Positiva,"8,2"
6,2024-03-05,Procesamiento,Selva,Convencional,No refrigerado,No aplica,25,2,"4,97","5,6","0,94","7,21",9,L006-Sel,"6,27","95,03","7,670212766",Positiva,"8,3"
7,2024-11-23,Cosecha,Costa,Orgánico,Refrigerado,No aplica,"23,86",3,"2,44","5,1","1,62","7,45","9,2",L007-Cos,"5,83","97,56","4,598765432",Positiva,"7,9"
8,2024-01-05,Procesamiento,Costa,Convencional,No refrigerado,No aplica,"23,9",4,"6,93","5,1","1,77","7,4","9,5",L008-Cos,"5,63","93,07","4,18079096",Positiva,"8,4"
9,2024-08-09,Procesamiento,Sierra,Convencional,No refrigerado,No aplica,17,6,"4,41","6,7","1,28","6,25","6,9",L009-Sie,"4,97","95,59","4,8828125",Negativa,6
10,2024-05-13,Cosecha,Sierra,Convencional,Refrigerado,No aplica,"18,34",3,"4,13","6,8","1,61","6,53","8,6",L010-Sie,"4,92","95,87","4,055900621",Positiva,"7,6"
11,2024-04-25,Procesamiento,Costa,Convencional,No refrigerado,No aplica,"20,45",2,"5,23","4,3","1,03","5,71","6,9",L011-Cos,"4,68","94,77","5,54368932",Negativa,"6,1"
12,2024-08-20,Acopio,Costa,Orgánico,Refrigerado,No aplica,25,2,"4,03","6,8","1,82","6,08",8,L012-Cos,"4,26","95,97","3,340659341",Positiva,"6,7"
13,2024-02-23,Acopio,Costa,Orgánico,Refrigerado,No aplica,"24,17",5,"3,71","4,1","2,11","6,01","9,3",L013-Cos,"3,9","96,29","2,848341232",Positiva,"8,3"
14,2024-11-20,Cosecha,Costa,Convencional,No refrigerado,No aplica,17,5,"3,57","5,1","1,04","7,21","9,2",L014-Cos,"6,17","96,43","6,932692308",Positiva,"8,4"
15,2024-05-26,Distribución,Costa,Convencional,Refrigerado,No aplica,"21,01",5,"9,01",5,"1,02","6,84","8,7",L015-Cos,"5,82","90,99","6,705882353",Positiva,"7,6"
16,2024-04-08,Acopio,Costa,En transición,Refrigerado,No aplica,"24,5",3,"7,39","4,3","1,72","7,51","7,8",L016-Cos,"5,79","92,61","4,36627907",Positiva,"6,3"
17,2024-05-31,Acopio,Costa,En transición,No refrigerado,No aplica,"22,13",4,"6,32","4,8","1,5","7,39","7,8",L017-Cos,"5,89","93,68","4,926666667",Positiva,"6,9"
18,2024-12-03,Acopio,Selva,Convencional,Mixto,No aplica,"21,96",5,"5,61","6,8","1,77","5,14","8,7",L018-Sel,"3,37","94,39","2,903954802",Positiva,"7,3"
