time,date,instrument,granularity,open,high,low,close
2026-04-29T09:55:00.000Z,29/4/2026,GOLD,5Min,"4555,105","4556,855","4551,625","4555,615"
2026-04-29T09:50:00.000Z,29/4/2026,GOLD,5Min,"4559,295","4559,435","4551,445","4555,085"
2026-04-29T09:45:00.000Z,29/4/2026,GOLD,5Min,"4558,915","4561,875","4557,825","4559,325"
2026-04-29T09:40:00.000Z,29/4/2026,GOLD,5Min,"4564,445","4565,455","4558,635","4558,915"
2026-04-29T09:35:00.000Z,29/4/2026,GOLD,5Min,"4567,145","4569,495","4562,365","4564,445"
2026-04-29T09:30:00.000Z,29/4/2026,GOLD,5Min,"4565,615","4567,225","4563,565","4567,175"
2026-04-29T09:25:00.000Z,29/4/2026,GOLD,5Min,"4571,895","4571,895","4565,605","4565,645"
2026-04-29T09:20:00.000Z,29/4/2026,GOLD,5Min,"4579,308","4580,555","4571,895","4571,895"
2026-04-29T09:15:00.000Z,29/4/2026,GOLD,5Min,"4573,665","4580,445","4573,305","4579,245"
2026-04-29T09:10:00.000Z,29/4/2026,GOLD,5Min,"4572,085","4575,035","4571,295","4573,815"
2026-04-29T09:05:00.000Z,29/4/2026,GOLD,5Min,"4574,285","4575,535","4571,975","4572,085"
2026-04-29T09:00:00.000Z,29/4/2026,GOLD,5Min,"4573,025","4574,935","4570,155","4574,285"
2026-04-29T08:55:00.000Z,29/4/2026,GOLD,5Min,"4574,755","4576,635","4572,945","4572,995"
2026-04-29T08:50:00.000Z,29/4/2026,GOLD,5Min,"4570,765","4575,165","4570,425","4574,745"
2026-04-29T08:45:00.000Z,29/4/2026,GOLD,5Min,"4568,165","4572,805","4568,145","4570,735"
2026-04-29T08:40:00.000Z,29/4/2026,GOLD,5Min,"4561,945","4568,745","4561,195","4568,195"
2026-04-29T08:35:00.000Z,29/4/2026,GOLD,5Min,"4562,385","4563,085","4557,075","4561,915"
2026-04-29T08:30:00.000Z,29/4/2026,GOLD,5Min,"4565,935","4568,005","4561,985","4562,285"
2026-04-29T08:25:00.000Z,29/4/2026,GOLD,5Min,"4568,575","4571,215","4565,875","4566,135"
2026-04-29T08:20:00.000Z,29/4/2026,GOLD,5Min,"4569,475","4571,005","4565,735","4568,335"
2026-04-29T08:15:00.000Z,29/4/2026,GOLD,5Min,"4565,405","4570,015","4565,405","4569,495"
2026-04-29T08:10:00.000Z,29/4/2026,GOLD,5Min,"4567,535","4569,385","4564,305","4565,085"
2026-04-29T08:05:00.000Z,29/4/2026,GOLD,5Min,"4568,775","4570,105","4564,505","4567,565"
2026-04-29T08:00:00.000Z,29/4/2026,GOLD,5Min,"4568,176","4573,145","4567,305","4568,745"
2026-04-29T07:55:00.000Z,29/4/2026,GOLD,5Min,"4570,075","4570,915","4567,125","4567,645"
2026-04-29T07:50:00.000Z,29/4/2026,GOLD,5Min,"4570,265","4572,305","4569,348","4570,075"
2026-04-29T07:45:00.000Z,29/4/2026,GOLD,5Min,"4570,225","4572,305","4567,335","4569,995"
2026-04-29T07:40:00.000Z,29/4/2026,GOLD,5Min,"4571,535","4574,995","4569,015","4570,225"
2026-04-29T07:35:00.000Z,29/4/2026,GOLD,5Min,"4577,735","4577,865","4570,535","4571,525"
2026-04-29T07:30:00.000Z,29/4/2026,GOLD,5Min,"4574,995","4578,605","4573,455","4577,705"
2026-04-29T07:25:00.000Z,29/4/2026,GOLD,5Min,"4575,495","4576,675","4569,415","4575,055"
2026-04-29T07:20:00.000Z,29/4/2026,GOLD,5Min,"4576,575","4579,615","4574,345","4575,435"
2026-04-29T07:15:00.000Z,29/4/2026,GOLD,5Min,"4578,465","4581,205","4575,725","4576,475"
2026-04-29T07:10:00.000Z,29/4/2026,GOLD,5Min,"4579,295","4581,235","4576,485","4578,495"
2026-04-29T07:05:00.000Z,29/4/2026,GOLD,5Min,"4588,005","4588,415","4578,995","4579,285"
2026-04-29T07:00:00.000Z,29/4/2026,GOLD,5Min,"4584,325","4588,685","4582,935","4587,975"
2026-04-29T06:55:00.000Z,29/4/2026,GOLD,5Min,"4583,375","4584,825","4582,795","4584,325"
2026-04-29T06:50:00.000Z,29/4/2026,GOLD,5Min,"4584,835","4584,835","4580,995","4583,325"
2026-04-29T06:45:00.000Z,29/4/2026,GOLD,5Min,"4584,895","4586,795","4583,945","4584,865"
2026-04-29T06:40:00.000Z,29/4/2026,GOLD,5Min,"4584,815","4587,325","4584,625","4584,815"
2026-04-29T06:35:00.000Z,29/4/2026,GOLD,5Min,"4583,225","4585,195","4580,575","4584,835"
2026-04-29T06:30:00.000Z,29/4/2026,GOLD,5Min,"4584,815","4586,685","4582,315","4583,245"
2026-04-29T06:25:00.000Z,29/4/2026,GOLD,5Min,"4584,535","4587,925","4584,535","4584,765"
2026-04-29T06:20:00.000Z,29/4/2026,GOLD,5Min,"4585,695","4586,455","4581,115","4584,475"
2026-04-29T06:15:00.000Z,29/4/2026,GOLD,5Min,"4588,385","4589,095","4583,675","4585,705"
2026-04-29T06:10:00.000Z,29/4/2026,GOLD,5Min,"4592,435","4592,715","4586,985","4588,325"
2026-04-29T06:05:00.000Z,29/4/2026,GOLD,5Min,"4596,975","4598,415","4591,735","4592,415"
2026-04-29T06:00:00.000Z,29/4/2026,GOLD,5Min,"4590,775","4598,545","4590,085","4596,945"
2026-04-29T05:55:00.000Z,29/4/2026,GOLD,5Min,"4597,245","4597,398","4590,365","4590,775"
2026-04-29T05:50:00.000Z,29/4/2026,GOLD,5Min,"4599,155","4602,935","4597,105","4597,265"
